COMPANY_CD(String),ContactName(String),COMPANY_NM(String),PRODUCT_CD(Integer),PRODUCT_NM(String),QTY(Integer),discount(Float),COST(Float),OrderDate(DateTime)
BERGS,Christina Berglund,Berglunds snabbkop,28,Rossle Sauerkraut,20,0,"45.6",12/08/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,52,Filo Mix,25,0,7,12/08/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,20,Sir Rodney's Marmalade,28,0,"64.8",01/16/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,24,Guarana Fantastica,6,"0.25","4.5",03/05/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,29,Thuringer Rostbratwurst,10,"0.25","123.79",02/28/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,44,Gula Malacca,16,0,"15.5",09/12/1994 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,13,Konbu,6,0,6,02/16/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,43,Ipoh Coffee,60,0,46,06/01/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,63,Vegie-spread,8,0,"35.1",09/12/1994 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,30,Nord-Ost Matjeshering,10,0,"25.89",06/01/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,30,Nord-Ost Matjeshering,40,"0.25","25.89",03/05/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,19,Teatime Chocolate Biscuits,25,0,"9.2",03/08/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,24,Guarana Fantastica,12,0,"3.6",09/14/1994 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,10,Ikura,20,"0.1",31,04/03/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,32,Mascarpone Fabioli,10,"0.1",32,07/19/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,14,Tofu,16,0,"23.25",12/08/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,41,Jack's New England Clam Chowder,10,0,"9.65",01/16/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,10,Ikura,2,0,31,06/01/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,41,Jack's New England Clam Chowder,30,0,"7.7",03/15/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,71,Flotemysost,20,0,"21.5",09/11/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,40,Boston Crab Meat,25,0,"18.4",02/16/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,71,Flotemysost,12,0,"21.5",10/18/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,16,Pavlova,12,"0.1","17.45",07/19/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,47,Zaanse koeken,40,"0.25","9.5",02/16/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,53,Perth Pasties,12,0,"32.8",09/11/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,47,Zaanse koeken,21,"0.1","9.5",03/08/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,28,Rossle Sauerkraut,30,"0.1","45.6",04/03/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,2,Chang,21,"0.25",19,03/05/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,75,Rhonbrau Klosterbier,6,0,"7.75",04/03/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,38,Cote de Blaye,15,"0.1","263.5",10/18/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,35,Steeleye Stout,8,0,"14.4",03/15/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,17,Alice Mutton,10,0,"31.2",03/15/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,59,Raclette Courdavault,15,0,44,09/12/1994 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,49,Maxilaku,15,0,20,03/08/1996 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,26,Gumbar Gummibarchen,15,0,"24.9",03/15/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,54,Tourtiere,6,"0.1","7.45",10/03/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,54,Tourtiere,15,0,"5.9",03/16/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,39,Chartreuse verte,6,0,"14.4",03/16/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,1,Chai,35,"0.25",18,11/01/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,54,Tourtiere,15,0,"7.45",06/01/1995 0:00:00
BERGS,Christina Berglund,Berglunds snabbkop,76,Lakkalikoori,21,"0.25",18,02/16/1996 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,21,Sir Rodney's Scones,3,0,10,05/29/1996 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,76,Lakkalikoori,14,0,18,07/28/1995 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,51,Manjimup Dried Apples,8,0,53,04/16/1996 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,28,Rossle Sauerkraut,3,0,"45.6",05/18/1995 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,54,Tourtiere,20,0,"7.45",05/10/1995 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,11,Queso Cabrales,14,0,21,08/29/1995 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,61,Sirop d'erable,4,0,"28.5",05/29/1996 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,47,Zaanse koeken,14,0,"9.5",04/16/1996 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,57,Ravioli Angelo,4,0,"19.5",07/28/1995 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,60,Camembert Pierrot,21,0,34,05/29/1996 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,39,Chartreuse verte,5,0,18,08/29/1995 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,21,Sir Rodney's Scones,8,0,10,08/29/1995 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,21,Sir Rodney's Scones,12,0,10,04/16/1996 0:00:00
BLAUS,Hanna Moos,Blauer See Delikatessen,18,Carnarvon Tigers,10,0,"62.5",02/27/1996 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,10,Ikura,14,0,"24.8",03/21/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,72,Mozzarella di Giovanni,20,0,"27.8",10/05/1994 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,41,Jack's New England Clam Chowder,12,"0.05","9.65",07/06/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,55,Pate chinois,18,"0.05",24,07/06/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,76,Lakkalikoori,10,0,18,07/13/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,29,Thuringer Rostbratwurst,35,0,99,12/23/1994 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,28,Rossle Sauerkraut,30,0,"36.4",12/23/1994 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,1,Chai,25,0,18,09/12/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,38,Cote de Blaye,10,0,"210.8",12/23/1994 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,31,Gorgonzola Telino,35,0,"12.5",02/12/1996 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,52,Filo Mix,20,0,"5.6",03/21/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,54,Tourtiere,28,0,"5.9",12/23/1994 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,18,Carnarvon Tigers,18,"0.15","62.5",07/13/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,75,Rhonbrau Klosterbier,24,"0.1","6.2",03/08/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,46,Spegesild,5,0,"9.6",03/08/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,39,Chartreuse verte,60,0,"14.4",10/05/1994 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,49,Maxilaku,35,0,16,12/23/1994 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,17,Alice Mutton,30,0,"31.2",08/25/1994 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,62,Tarte au sucre,35,0,"39.4",03/21/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,57,Ravioli Angelo,15,0,"19.5",02/12/1996 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,70,Outback Lager,20,0,12,08/25/1994 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,64,Wimmers gute Semmelknodel,30,"0.1","26.6",03/08/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,56,Gnocchi di nonna Alice,40,"0.1","30.4",03/08/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,59,Raclette Courdavault,12,0,55,10/24/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,31,Gorgonzola Telino,50,"0.05","12.5",07/31/1995 0:00:00
BLONP,Frederique Citeaux,Blondel pere et fils,11,Queso Cabrales,35,"0.15",21,07/13/1995 0:00:00
BOLID,Martin Sommer,Bolido Comidas preparadas,17,Alice Mutton,40,"0.25",39,01/29/1996 0:00:00
BOLID,Martin Sommer,Bolido Comidas preparadas,57,Ravioli Angelo,16,0,"15.6",11/10/1994 0:00:00
BOLID,Martin Sommer,Bolido Comidas preparadas,29,Thuringer Rostbratwurst,20,"0.25","123.79",01/29/1996 0:00:00
BOLID,Martin Sommer,Bolido Comidas preparadas,52,Filo Mix,40,"0.2",7,04/23/1996 0:00:00
BOLID,Martin Sommer,Bolido Comidas preparadas,4,Chef Anton's Cajun Seasoning,24,0,"17.6",11/10/1994 0:00:00
BOLID,Martin Sommer,Bolido Comidas preparadas,75,Rhonbrau Klosterbier,50,0,"6.2",11/10/1994 0:00:00
BONAP,Laurence Lebihan,Bon app',17,Alice Mutton,16,"0.05",39,03/07/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',71,Flotemysost,30,0,"21.5",11/23/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',10,Ikura,15,0,31,02/12/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',69,Gudbrandsdalsost,25,"0.25",36,12/27/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',14,Tofu,20,"0.25","23.25",06/05/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',10,Ikura,21,0,31,11/23/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',23,Tunnbrod,15,0,"7.2",04/11/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',7,Uncle Bob's Organic Dried Pears,50,"0.15",30,05/19/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',25,NuNuCa Nuss-Nougat-Creme,50,0,"11.2",12/26/1994 0:00:00
BONAP,Laurence Lebihan,Bon app',19,Teatime Chocolate Biscuits,10,"0.25","9.2",06/05/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',43,Ipoh Coffee,40,"0.05","36.8",11/29/1994 0:00:00
BONAP,Laurence Lebihan,Bon app',7,Uncle Bob's Organic Dried Pears,8,0,30,04/10/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',51,Manjimup Dried Apples,20,"0.05",53,10/11/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',54,Tourtiere,24,0,"5.9",12/26/1994 0:00:00
BONAP,Laurence Lebihan,Bon app',46,Spegesild,21,0,12,03/11/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',51,Manjimup Dried Apples,20,0,"42.4",12/26/1994 0:00:00
BONAP,Laurence Lebihan,Bon app',31,Gorgonzola Telino,3,"0.05","12.5",12/06/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',13,Konbu,20,0,6,04/10/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',41,Jack's New England Clam Chowder,12,"0.05","7.7",11/29/1994 0:00:00
BONAP,Laurence Lebihan,Bon app',8,Northwoods Cranberry Sauce,10,"0.15",40,05/19/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',76,Lakkalikoori,20,0,18,12/07/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',42,Singaporean Hokkien Fried Mee,30,"0.05",14,10/11/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',62,Tarte au sucre,14,"0.1","49.3",04/05/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',47,Zaanse koeken,30,"0.25","9.5",12/27/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',16,Pavlova,15,"0.05","17.45",12/06/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',39,Chartreuse verte,21,0,18,02/12/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',65,Louisiana Fiery Hot Pepper Sauce,10,"0.05","21.05",12/06/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',56,Gnocchi di nonna Alice,30,"0.25",38,12/27/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',18,Carnarvon Tigers,20,"0.05",50,11/29/1994 0:00:00
BONAP,Laurence Lebihan,Bon app',75,Rhonbrau Klosterbier,20,"0.1","7.75",04/05/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',40,Boston Crab Meat,15,"0.1","18.4",06/02/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',72,Mozzarella di Giovanni,16,0,"34.8",04/05/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',64,Wimmers gute Semmelknodel,20,0,"33.25",03/11/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',16,Pavlova,12,"0.05","17.45",03/07/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',16,Pavlova,30,"0.1","17.45",04/05/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',36,Inlagd Sill,30,0,19,06/02/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',18,Carnarvon Tigers,30,0,50,04/11/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',40,Boston Crab Meat,30,"0.05","18.4",10/11/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',57,Ravioli Angelo,14,"0.25","19.5",12/27/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',64,Wimmers gute Semmelknodel,8,0,"26.6",04/11/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',6,Grandma's Boysenberry Spread,50,"0.05",25,03/07/1996 0:00:00
BONAP,Laurence Lebihan,Bon app',54,Tourtiere,15,0,"5.9",11/16/1994 0:00:00
BONAP,Laurence Lebihan,Bon app',4,Chef Anton's Cajun Seasoning,50,"0.15",22,05/19/1995 0:00:00
BONAP,Laurence Lebihan,Bon app',6,Grandma's Boysenberry Spread,20,"0.25",25,06/05/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,44,Gula Malacca,18,"0.25","19.45",04/11/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,43,Ipoh Coffee,9,0,46,04/26/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,55,Pate chinois,15,0,"19.2",01/20/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,40,Boston Crab Meat,50,"0.25","14.7",03/02/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,10,Ikura,16,0,"24.8",01/20/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,17,Alice Mutton,6,0,39,04/12/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,25,NuNuCa Nuss-Nougat-Creme,60,"0.05","11.2",05/02/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,72,Mozzarella di Giovanni,35,0,"34.8",12/15/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,8,Northwoods Cranberry Sauce,16,0,40,04/24/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,56,Gnocchi di nonna Alice,18,0,38,04/11/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,44,Gula Malacca,40,"0.2","15.5",02/10/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,33,Geitost,49,0,2,02/10/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,70,Outback Lager,30,0,12,01/20/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,60,Camembert Pierrot,50,0,34,12/15/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,1,Chai,60,"0.25",18,04/01/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,41,Jack's New England Clam Chowder,25,"0.2","7.7",02/10/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,24,Guarana Fantastica,30,"0.25","4.5",05/16/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,62,Tarte au sucre,20,0,"39.4",01/20/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,59,Raclette Courdavault,16,0,44,02/10/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,47,Zaanse koeken,30,"0.25","7.6",03/02/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,17,Alice Mutton,50,"0.25","31.2",03/02/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,7,Uncle Bob's Organic Dried Pears,20,0,30,04/26/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,3,Aniseed Syrup,20,0,10,12/15/1995 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,68,Scottish Longbreads,42,0,"12.5",05/24/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,51,Manjimup Dried Apples,24,0,53,05/23/1996 0:00:00
BOTTM,Elizabeth Lincoln,Bottom-Dollar Markets,33,Geitost,15,0,"2.5",05/23/1996 0:00:00
